id,st,end,time,stdev,breaks
0,0,1,1.1677890269160272,0.014109617934365,"0,1"
1,0,2,2.044829314351082,0.0294988329694434,"0,1,2"
2,0,3,3.219849637329579,0.0398542211190039,"0,1,3"
3,0,4,3.5705427540540695,0.422221958499146,"0,1,2,4"
4,0,5,2.2119711056351665,0.0360662369433338,"0,1,5"
5,1,2,0.8770402874350548,0.0153892150350784,"1,2"
6,1,3,2.0520606104135517,0.0257446031846389,"1,3"
7,1,4,2.4027537271380424,0.408112340564781,"1,2,4"
8,1,5,1.0441820787191392,0.0219566190089688,"1,5"
9,2,3,1.924291231751442,0.0176612385563965,"2,3"
10,2,4,1.5257134397029877,0.3927231255297026,"2,4"
11,2,5,0.6681482879817486,0.0199808306118056,"2,5"
12,3,4,1.9292237145900728,0.3494293851078376,"3,4"
13,3,5,2.5965545620918276,0.3696958701912434,"3,4,5"
14,4,5,0.6673308475017548,0.0202664850834058,"4,5"
15,5,6,0.9242986881136894,0.0237418953660238,"5,6"
16,5,7,2.2409194870591165,0.0431142648872102,"5,6,7"
17,5,8,0.7901498880386353,0.0361359639646861,"5,8"
18,5,9,1.7139229764938355,0.052119160131579606,"5,8,9"
19,5,10,1.751737857937813,0.059413029359834904,"5,8,10"
20,5,11,0.6744726718366146,0.0196378756702347,"5,11"
21,6,7,1.316620798945427,0.0193723695211864,"6,7"
22,6,8,2.1150789413154127,0.0364763395393052,"6,7,8"
23,7,8,0.7984581423699856,0.0171039700181188,"7,8"
24,8,9,0.9237730884552002,0.0159831961668935,"8,9"
25,8,10,0.9615879698991776,0.0232770653951488,"8,10"
26,8,11,0.4492004472911358,0.0219463987005869,"8,11"
27,9,10,0.9348125120997428,0.0144420466456491,"9,10"
28,9,11,1.171672607421875,0.0304018277999509,"9,11"
29,10,11,0.4465544318258762,0.015336709916983,"10,11"
30,11,12,0.5151738887131214,0.0128426545790769,"11,12"
31,11,13,1.2321603497862816,0.3990209397089682,"11,13"
32,11,14,0.474001504778862,0.0107524645100332,"11,14"
33,11,17,0.6998784957528115,0.0120555612218474,"11,17"
34,11,18,1.2144356792867184,0.0215618261945526,"11,17,18"
35,11,19,1.3097808956205845,0.4757115390439631,"11,17,19"
36,11,20,0.7035615049004554,0.0224416778247765,"11,20"
37,12,13,0.7773176642656326,0.0306755075934274,"12,13"
38,12,14,1.1247368309497834,0.4382133648509575,"12,14"
39,13,14,0.4831832331120967,0.0166392786251286,"13,14"
40,14,15,0.5157246404290199,0.0157830635974179,"14,15"
41,14,16,1.1761581742763518,0.019838364271464,"14,16"
42,14,17,0.4747857602536678,0.0148340729974986,"14,17"
43,14,18,0.9893429437875747,0.0243403379702038,"14,17,18"
44,14,19,0.912283999621868,0.0211419769640413,"14,19"
45,14,20,0.5101789120733738,0.0129468917814745,"14,20"
46,15,16,0.7765042549967766,0.0153307780144496,"15,16"
47,15,17,1.062859840154648,0.0203061231167195,"15,17"
48,16,17,0.483600064843893,0.0228725603057445,"16,17"
49,17,18,0.5145571835339069,0.0095062649727052,"17,18"
50,17,19,0.6099023998677731,0.4636559778221157,"17,19"
51,17,20,0.4163269439041615,0.020757507060461,"17,20"
52,18,19,0.656992288172245,0.0147272469469452,"18,19"
53,18,20,0.7520582080185413,0.0470988524907677,"18,20"
54,19,20,0.3642100794911385,0.0120783882242614,"19,20"
55,20,21,0.4364496966004371,0.0124206467356958,"20,21"
56,20,22,1.0856517121195792,0.0202602170779123,"20,22"
57,20,23,0.5196750404834747,0.4409292933329538,"20,23"
58,20,26,0.6947560006976128,0.0215766338949835,"20,26"
59,20,29,0.8953171516060829,0.021954984169334,"20,29"
60,20,30,1.331657856017351,0.0357897229554834,"20,29,30"
61,20,31,1.987218144118786,0.0462305361457682,"20,29,31"
62,20,32,1.0850773779153824,0.0175629959622964,"20,32"
63,20,35,1.0910465920567511,0.0146415440901744,"20,35"
64,20,38,1.087695008635521,0.0170857700824236,"20,38"
65,20,39,1.6255919344723226,0.0347130792977619,"20,38,39"
66,20,40,1.9130244162082675,0.036545593485858896,"20,38,40"
67,20,41,1.3873449919223786,0.040333340164537,"20,41"
68,21,22,0.6807933094501495,0.0123511437115465,"21,22"
69,21,23,1.001214080274105,0.0248288409222966,"21,23"
70,22,23,0.4288409922420979,0.0126127472772967,"22,23"
71,23,24,0.4358695365786552,0.0097553802134545,"23,24"
72,23,25,1.0921694093346597,0.0247780127769522,"23,25"
73,23,26,0.4418075837790966,0.0182548657626234,"23,26"
74,23,29,0.6980146241188049,0.0215235586797245,"23,29"
75,23,30,1.1343553285300731,0.0353582974658739,"23,29,30"
76,23,31,1.7899156166315078,0.0457991106561587,"23,29,31"
