id,st,end,time,stdev,breaks
0,0,1,8.326913743019103,0.0173043513273258,"0,1"
1,0,2,8.772203865051269,0.0206065550485998,"0,2"
2,1,2,20.50561405181885,0.0856775518154274,"1,2"
3,2,3,41.0177968788147,6.546454036595063,"2,3"
4,2,4,55.12899001121521,6.576129127021609,"2,3,4"
5,3,4,14.111193132400512,0.029675090426546,"3,4"
6,4,5,25.18603216171265,0.1128692283240491,"4,5"
7,4,6,30.260052652359008,0.2809352803339855,"4,6"
8,4,7,38.21879794120789,0.1886225506809398,"4,5,7"
9,4,8,43.295609626770016,0.3588874552513772,"4,6,8"
10,5,6,9.722453293800356,0.0422867604362642,"5,6"
11,5,7,13.03276577949524,0.0757533223568907,"5,7"
12,5,8,22.749009475708007,0.11692519037066629,"5,7,8"
13,6,7,9.725028190612791,0.040500729652336,"6,7"
14,6,8,13.03555697441101,0.0779521749173917,"6,8"
15,7,8,9.716243696212768,0.0411718680137756,"7,8"
16,8,9,17.8516659450531,0.1073048045457938,"8,9"
17,8,10,22.99314765930176,0.2137145120272129,"8,10"
18,8,11,30.405675027370453,0.2572244321669964,"8,10,11"
19,8,12,35.59486077785492,0.28542172618548867,"8,10,12"
20,9,10,7.417239518165588,0.0348580220076228,"9,10"
21,9,11,12.60063491344452,0.0710037261804765,"9,11"
22,9,12,20.01579075098038,0.1200586015863524,"9,11,12"
23,10,11,7.412527368068695,0.0435099201397835,"10,11"
24,10,12,12.601713118553162,0.0717072141582758,"10,12"
25,11,12,7.415155837535858,0.0490548754058759,"11,12"
26,12,13,7.403466064929962,0.0416078281140533,"12,13"
27,12,14,9.828699979782105,0.0766226814973332,"12,13,14"
28,12,15,10.776283984184264,0.060567784173739106,"12,13,15"
29,12,16,13.198835663795471,0.0864094708516642,"12,13,15,16"
30,13,14,2.4252339148521425,0.0350148533832799,"13,14"
31,13,15,3.372817919254303,0.0189599560596858,"13,15"
32,13,16,5.795369598865509,0.044801642737610906,"13,15,16"
33,14,15,2.4251503944396973,0.0346148784304925,"14,15"
34,14,16,3.3729427111148835,0.0219661718044496,"14,16"
35,15,16,2.422551679611206,0.0258416866779251,"15,16"
